City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Farafangana,MG,72.91,light rain,-22.8167,47.8333,Miarina
634,Trincomalee,LK,83.59,moderate rain,8.5711,81.2335,Welcombe Hotel
635,Nainpur,IN,83.05,clear sky,22.4333,80.1167,Railway Rest House
638,High Rock,BS,78.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
641,Bandundu,CD,73.44,overcast clouds,-3.3167,17.3667,Coja Color
644,Lucknow,IN,80.58,haze,26.85,80.9167,C N Comforts Hotel & Dormitory
646,Tamandare,BR,76.28,few clouds,-8.7597,-35.1047,Pousada 100 Passos
647,Marsh Harbour,BS,76.95,clear sky,26.5412,-77.0636,Abaco Beach Resort
649,Suleja,NG,77.94,clear sky,9.1758,7.1808,Capy Motel
650,Lodja,CD,70.2,overcast clouds,-3.4833,23.4333,
652,Santa Cruz,BO,72.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
654,Dalsingh Sarai,IN,84.83,clear sky,25.6667,85.8333,Hotel bhavya
665,Indapur,IN,80.04,overcast clouds,18.3,73.25,Hotel Open Umbrella
667,Thiruvananthapuram,IN,82.38,broken clouds,8.4833,76.9167,Hotel Residency Tower
668,Nioki,CD,72.88,overcast clouds,-2.7167,17.6833,
673,Canto Do Buriti,BR,79.66,overcast clouds,-8.11,-42.9444,Novo Hotel
675,Matay,EG,78.82,clear sky,28.419,30.7792,Nag Aespen
677,Jagatsinghapur,IN,82.4,overcast clouds,20.2667,86.1667,Arun Beura & Bros..
679,Matadi,CD,75.7,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
681,Fuerte Olimpo,PY,71.58,clear sky,-21.0415,-57.8738,Hospedaje DAMI
682,Mandi,IN,70.25,clear sky,31.7167,76.9167,Hotel Highway
683,Minab,IR,82.8,clear sky,27.1467,57.0801,Bam campground
684,Qandala,SO,84.13,broken clouds,11.472,49.8728,
687,Puerto Baquerizo Moreno,EC,71.82,broken clouds,-0.9,-89.6,Hotel los Algarrobos
690,Aracruz,BR,72.61,clear sky,-19.8203,-40.2733,"OYO Hotel Iramar, Aracruz"
692,Chake Chake,TZ,78.78,overcast clouds,-5.2459,39.7666,Hotel Archipelago
693,Gilgit,PK,70.12,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
694,Gazli,UZ,77.05,overcast clouds,40.1333,63.45,
695,Bela,IN,86.09,clear sky,25.9333,81.9833,Raj Bhawan
696,Olinda,BR,74.93,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
698,Amalapuram,IN,81.66,overcast clouds,16.5833,82.0167,swayamprabha service apartments
699,Bosaso,SO,83.39,clear sky,11.2842,49.1816,Red Sea Hotel
702,Guayaramerin,BO,79.09,overcast clouds,-10.8368,-65.3614,Hostal Funf
703,Takaungu,KE,77.94,light rain,-3.6837,39.8566,Takaungu House
704,Gidam,IN,79.43,overcast clouds,18.9833,81.4,सागर
